epShort,samplingStartDate,plot,treeTagNo,scientificName,dbh_in,ht_ft,htlc_ft,cbh_ft,status,crownScorch_%,maxScorchHt_ft,minBoleChar_ft,maxBoleChar_ft,burnSeverity
PRE,12-Sep-16,15,63,Pseudotsuga menziesii,1,10,5,4,L,95,10,0.1,1,2
PRE,10-Sep-16,11,3554,Pinus contorta var. latifolia,0.6,6,1,1,L,95,5,0.1,0.1,2
PRE,10-Sep-16,17,1219,Pinus contorta var. latifolia,0.5,6,2,1,L,95,5,0.1,0.1,2
PRE,17-Aug-16,1,404,Pseudotsuga menziesii,0.5,6.4,3.5,1.5,L,95,6.4,0.1,0.5,2
PRE,10-Sep-16,13,3570,Pinus ponderosa,0.4,6,4,1,L,95,6,0.1,0.1,2
PRE,10-Sep-16,17,1218,Pinus contorta var. latifolia,0.4,6,2,1,L,95,6,0.1,0.1,2
PRE,10-Sep-16,17,1214,Pinus contorta var. latifolia,0.4,5,1,1,L,95,3,0.1,0.1,2
PRE,10-Sep-16,11,3520,Pinus contorta var. latifolia,0.3,5,1,1,L,95,5,0.1,0.1,2
PRE,10-Sep-16,17,1220,Pinus contorta var. latifolia,0.3,5,1,1,L,95,5,0.1,0.1,2
PRE,10-Sep-16,1,908,Pinus ponderosa,21.5,94,47,39,L,90,88,15,20,2
PRE,20-Sep-16,3,409,Pinus ponderosa,19.5,88,40,21,L,90,73,0.1,12,2
PRE,23-Sep-16,3,507,Pinus ponderosa,16.8,42,13,13,L,90,42,6,6.5,2
PRE,20-Sep-16,5,420,Pinus ponderosa,16.3,74,36,36,L,90,72,24,38,2
PRE,23-Sep-16,19,153,Pinus ponderosa,16.2,66,19,17,L,90,62,4,6,2
PRE,20-Sep-16,3,407,Larix occidentalis,15.2,81,34,34,L,90,72,0,22,2
PRE,20-Sep-16,11,2434,Pseudotsuga menziesii,10.7,73,42,11,L,90,61,5,9,2
PRE,20-Sep-16,9,484,Larix occidentalis,7.9,59,27,24,L,90,56,9,18,2
PRE,12-Sep-16,15,73,Abies grandis,6.5,21,6,5,L,90,21,4,5,2
PRE,20-Sep-16,9,467,Pseudotsuga menziesii,6.2,37,21,6,L,90,32,0.1,2,2
PRE,20-Sep-16,11,2452,Pseudotsuga menziesii,5.7,49,35,5,L,90,44,3,8,2
PRE,23-Sep-16,3,505,Pinus ponderosa,5.3,22,2,2,L,90,22,0,1,2
PRE,10-Sep-16,17,1211,Pinus ponderosa,5.3,28,9,9,L,90,25,1,3,2
PRE,20-Sep-16,19,697,Pseudotsuga menziesii,4.6,30,8,2,L,90,26,0.1,3,2
PRE,20-Sep-16,9,470,Pseudotsuga menziesii,4.3,36,25,6,L,90,26,1,4,2
PRE,20-Sep-16,19,191,Pseudotsuga menziesii,4.3,25,6,1,L,90,22,3,6,2
PRE,12-Sep-16,15,102,Pseudotsuga menziesii,3.7,23,8,4,L,90,21,0.1,2,2
PRE,12-Sep-16,15,76,Abies grandis,3.4,29,4,4,L,90,29,0,0.1,2
PRE,20-Sep-16,7,440,Pseudotsuga menziesii,3.3,20,9,1,L,90,22,0.1,2,2
PRE,20-Sep-16,13,2464,Pinus ponderosa,3.2,20,13,4,L,90,15,0.1,3,2
PRE,12-Sep-16,5,28,Pseudotsuga menziesii,3.2,18,6,3,L,90,18,2,4,2
PRE,20-Sep-16,1,404,Pseudotsuga menziesii,3.1,19,8,6,L,90,18,3,5,2
PRE,12-Sep-16,17,130,Pseudotsuga menziesii,2.9,27,13,6,L,90,20,3,4,2
PRE,10-Sep-16,17,1241,Pinus contorta var. latifolia,2.4,16,6,6,L,90,16,0.1,2,2
PRE,20-Sep-16,13,2472,Pinus ponderosa,1.2,9,7,4,L,90,9,0.1,5,2
PRE,10-Sep-16,7,953,Pinus contorta var. latifolia,0.4,6,1,0,L,90,6,1,1,2
PRE,23-Sep-16,19,151,Pinus ponderosa,19.1,69,29,29,L,85,65,3,4.5,2
PRE,23-Sep-16,19,146,Pinus ponderosa,17,80,32,17,L,85,71,3,8,2
PRE,20-Sep-16,11,2439,Pseudotsuga menziesii,16.2,72,18,7,L,85,65,0.1,8,2
PRE,23-Sep-16,7,534,Pinus ponderosa,15,65,12,8,L,85,60,1.5,6,2
PRE,20-Sep-16,11,2435,Pseudotsuga menziesii,11,71,42,24,L,85,62,4,10,2
PRE,23-Sep-16,15,135,Pinus ponderosa,7.2,45,19,5,L,85,38,0.5,1,2
PRE,20-Sep-16,13,2476,Pseudotsuga menziesii,6.8,34,13,2,L,85,29,7,10,2
PRE,12-Sep-16,17,113,Pseudotsuga menziesii,6.3,51,6,4,L,85,44,3,6,2
PRE,20-Sep-16,19,695,Pseudotsuga menziesii,4.8,33,8,1,L,85,25,1,5,2
PRE,10-Sep-16,9,968,Abies grandis,4.7,17,2,0,L,85,17,0.1,0.1,2
PRE,20-Sep-16,7,428,Pseudotsuga menziesii,4.6,27,3,1,L,85,17,1,6,2
PRE,12-Sep-16,15,108,Pseudotsuga menziesii,4.2,34,12,10,L,85,28,3,5,2
PRE,23-Sep-16,1,511,Pinus ponderosa,3.7,27,15,15,L,85,26,0,3,2
PRE,12-Sep-16,1,1335,Pseudotsuga menziesii,2.9,17,5,2,L,85,13,3,6,2
PRE,10-Sep-16,17,1222,Pinus contorta var. latifolia,0.8,7,1,1,L,85,5,0.1,1,2
PRE,12-Sep-16,15,69,Pseudotsuga menziesii,0.6,11,6,4,L,85,8,0,0.1,2
PRE,10-Sep-16,19,1278,Pinus contorta var. latifolia,0.5,6,1,1,L,85,3,0.1,0.1,2
PRE,10-Sep-16,13,3571,Pinus ponderosa,0.3,5,2,1,L,85,5,0.1,1,2
PRE,23-Sep-16,1,526,Pinus ponderosa,6.5,23,12,2,L,80,16,1,4,2
PRE,10-Sep-16,3,915,Pseudotsuga menziesii,5.1,24,2,2,L,80,24,2,4,2
PRE,10-Sep-16,11,980,Pseudotsuga menziesii,1.7,12,3,1,L,80,8,0.1,0.1,2
PRE,20-Sep-16,15,165,Abies grandis,17.2,77,23,5,L,75,77,0.1,77,2
PRE,23-Sep-16,9,545,Pinus ponderosa,17.2,76,25,5,L,75,58,1,9,2
PRE,23-Sep-16,19,150,Pinus ponderosa,15.7,69,28,11,L,75,64,4,7.5,2
PRE,20-Sep-16,19,194,Pinus ponderosa,15.2,50,18,18,L,75,35,0.1,19,2
PRE,17-Aug-16,3,413,Pinus ponderosa,14.2,84,39,9.5,L,75,83,0.1,4,2
PRE,12-Sep-16,17,119,Pinus ponderosa,11.5,45,27,9,L,75,42,5,17,2
PRE,20-Sep-16,7,449,Pseudotsuga menziesii,6.3,29,4,1,L,75,24,2,7,2
PRE,20-Sep-16,19,694,Pseudotsuga menziesii,3.9,21,7,1,L,75,17,3,6,2
PRE,10-Sep-16,11,3548,Pinus contorta var. latifolia,1.4,12,1,1,L,75,12,1,2,2
PRE,23-Sep-16,19,152,Salix scouleriana,1.3,9,4,3,L,75,9,2,4,2
PRE,10-Sep-16,17,1212,Pinus contorta var. latifolia,0.6,6,2,1,L,75,6,0.1,0.1,2
PRE,20-Sep-16,7,446,Pseudotsuga menziesii,0.4,7,3,1,L,75,5,0.1,1,2
PRE,17-Aug-16,13,471,Pseudotsuga menziesii,0.4,6,1.5,1.5,L,75,6,0.1,0.5,2
PRE,10-Sep-16,5,922,Pinus ponderosa,17,56,20,11,L,70,34,2,17,2
PRE,10-Sep-16,5,923,Pinus ponderosa,15,57,27,23,L,70,45,1,11,2
PRE,12-Sep-16,5,23,Pseudotsuga menziesii,7.3,41,16,9,L,70,34,4,9,2
PRE,20-Sep-16,9,460,Pseudotsuga menziesii,7.2,46,25,6,L,70,34,0,0,2
PRE,23-Sep-16,1,528,Pseudotsuga menziesii,6.6,31,10,2,L,70,27,4,8.5,2
PRE,20-Sep-16,7,442,Pseudotsuga menziesii,5.2,34,8,2,L,70,31,2,6,2
PRE,12-Sep-16,15,81,Pseudotsuga menziesii,5.2,38,13,9,L,70,28,0,0,2
PRE,12-Sep-16,15,65,Abies grandis,2.3,18,11,10,L,70,14,0.1,2,2
PRE,10-Sep-16,15,3595,Pinus ponderosa,1.7,11,7,6,L,70,7,0.1,2,2
PRE,10-Sep-16,11,982,Pseudotsuga menziesii,1.1,8,1,0,L,70,6,0.1,0.1,2
PRE,10-Sep-16,11,995,Pseudotsuga menziesii,0.9,9,2,1,L,70,9,0.1,1,2
PRE,10-Sep-16,19,1259,Pinus contorta var. latifolia,0.7,7,1,1,L,70,6,0.1,1,2
PRE,10-Sep-16,11,988,Pinus contorta var. latifolia,0.6,6,2,0,L,70,5,1,1,2
PRE,12-Sep-16,17,112,Pseudotsuga menziesii,11.2,62,9,6,L,65,43,9,18,2
PRE,12-Sep-16,17,134,Pseudotsuga menziesii,10,68,17,11,L,65,37,4,11,2
PRE,20-Sep-16,5,422,Pseudotsuga menziesii,8.7,42,4,2,L,65,35,0.1,14,2
PRE,20-Sep-16,9,472,Pseudotsuga menziesii,6.4,42,26,8,L,65,34,0.1,7,2
PRE,20-Sep-16,7,448,Pseudotsuga menziesii,5,28,6,2,L,65,22,4,7,2
PRE,12-Sep-16,5,25,Pseudotsuga menziesii,4,25,5,3,L,65,19,0.1,3,2
PRE,20-Sep-16,19,600,Pseudotsuga menziesii,3.2,24,9,1,L,65,13,1,4,2
PRE,10-Sep-16,11,987,Pinus contorta var. latifolia,1.4,13,2,1,L,65,13,2,3,2
PRE,10-Sep-16,7,952,Pseudotsuga menziesii,0.3,6,0,0,L,65,6,0.1,0.1,2
PRE,20-Sep-16,11,2440,Larix occidentalis,12.1,74,50,50,L,60,53,0.1,1,2
PRE,12-Sep-16,5,1359,Pinus ponderosa,9,49,16,10,L,60,32,3,13,2
PRE,12-Sep-16,17,142,Pseudotsuga menziesii,7.4,40,8,9,L,60,32,0,0,2
PRE,20-Sep-16,13,2481,Pseudotsuga menziesii,7.1,32,9,2,L,60,29,0.1,7,2
PRE,20-Sep-16,1,403,Pinus ponderosa,6.2,36,23,20,L,60,28,5,7,2
PRE,12-Sep-16,1,1334,Pseudotsuga menziesii,6,36,6,5,L,60,22,1,9,2
PRE,12-Sep-16,15,64,Abies grandis,4.6,29,6,3,L,60,21,0.1,1,2
PRE,20-Sep-16,19,192,Pseudotsuga menziesii,4.1,21,10,1,L,60,17,1,4,2
PRE,17-Aug-16,11,445,Pseudotsuga menziesii,3.2,16,9,4,L,60,16,2,3,2
PRE,12-Sep-16,17,138,Pseudotsuga menziesii,2.3,22,12,3,L,60,17,0.1,1,2
PRE,10-Sep-16,11,3519,Pinus contorta var. latifolia,1.8,14,2,2,L,60,12,0.1,1,2
PRE,10-Sep-16,11,3547,Pinus contorta var. latifolia,1.7,11,1,1,L,60,7,0.1,2,2
PRE,10-Sep-16,19,1277,Pseudotsuga menziesii,0.4,6,1,1,L,60,4,0,0.1,2
PRE,10-Sep-16,7,954,Pinus contorta var. latifolia,0.3,5,1,1,L,60,3,0,0.1,2
PRE,10-Sep-16,19,1280,Pinus contorta var. latifolia,0.3,5,1,1,L,60,4,0,0,2
PRE,12-Sep-16,5,1357,Pseudotsuga menziesii,13,75,19,10,L,55,45,4,15,2
PRE,20-Sep-16,13,2456,Pseudotsuga menziesii,4.2,33,18,5,L,55,23,0.1,3,2
PRE,20-Sep-16,7,447,Pseudotsuga menziesii,4,33,14,1,L,55,28,4,6,2
PRE,20-Sep-16,13,2471,Pinus ponderosa,3.8,26,16,5,L,55,18,0.1,7,2
PRE,10-Sep-16,11,3525,Abies grandis,2.4,12,2,1,L,55,12,0.1,1,2
PRE,20-Sep-16,11,2423,Pinus ponderosa,29.1,107,24,24,L,50,79,1,7,2
PRE,12-Sep-16,9,49,Pinus ponderosa,24.9,85,8,6,L,50,58,0.1,3,2
PRE,10-Sep-16,17,1242,Pinus ponderosa,18.5,72,27,10,L,50,48,3,21,2
PRE,20-Sep-16,15,164,Pseudotsuga menziesii,13.5,40,1,1,L,50,40,0.1,8,2
PRE,12-Sep-16,3,1344,Pinus ponderosa,13.5,72,27,19,L,50,40,0.1,7,2
PRE,20-Sep-16,9,457,Pseudotsuga menziesii,10.5,54,24,10,L,50,,0.1,1,2
PRE,12-Sep-16,17,122,Pseudotsuga menziesii,9.5,76,21,8,L,50,28,4,14,2
PRE,20-Sep-16,13,2480,Pseudotsuga menziesii,9.2,52,17,3,L,50,31,3,11,2
PRE,23-Sep-16,1,525,Pinus ponderosa,6,31,16,3,L,50,18,1,3.5,2
PRE,20-Sep-16,13,2458,Pseudotsuga menziesii,5,33,11,3,L,50,22,0,4,2
PRE,22-Aug-16,5,116,Pinus ponderosa,5,16,8,8,L,50,10,0,1,2
PRE,10-Sep-16,15,1204,Pinus ponderosa,1.3,6,5,4,L,50,3,0.1,2,2
PRE,17-Aug-16,13,482,Pseudotsuga menziesii,1.2,7.6,3.5,2,L,50,6.5,0.5,1,2
PRE,10-Sep-16,9,963,Pinus ponderosa,0.5,5,4,2,L,50,4,0.1,0.1,2
PRE,17-Aug-16,13,480,Pseudotsuga menziesii,0.5,7.5,2,1,L,50,5,0,0.1,2
PRE,10-Sep-16,19,1267,Pinus contorta var. latifolia,0.4,5,1,1,L,50,5,0,0,2
PRE,23-Sep-16,19,147,Pinus ponderosa,17.7,74,32,24,L,45,59,2,8.5,2
PRE,12-Sep-16,5,1360,Pseudotsuga menziesii,9.1,66,22,15,L,45,33,2,6,2
PRE,20-Sep-16,11,2445,Pinus ponderosa,7,53,37,37,L,45,45,1,7,2
PRE,12-Sep-16,3,1348,Pseudotsuga menziesii,5.9,38,9,7,L,45,24,3,5,2
PRE,20-Sep-16,9,469,Pseudotsuga menziesii,5.8,44,21,7,L,45,33,2,5,2
PRE,12-Sep-16,17,,Pseudotsuga menziesii,5.2,31,6,6,L,45,31,0,0,2
PRE,12-Sep-16,1,1333,Pseudotsuga menziesii,2.9,19,6,4,L,45,18,2,4,2
PRE,22-Aug-16,7,130,Pinus ponderosa,2.5,9,6,6,L,45,8,0.1,3,2
PRE,10-Sep-16,11,996,Pinus contorta var. latifolia,1,7,1,1,L,45,4,0.1,0.1,2
PRE,10-Sep-16,11,3536,Pinus contorta var. latifolia,0.8,6,1,1,L,45,4,0.1,0.1,2
PRE,10-Sep-16,19,1307,Pinus contorta var. latifolia,0.4,5,1,1,L,45,3,0,0.1,2
PRE,23-Sep-16,19,148,Pinus ponderosa,21.5,81,37,37,L,40,50,1,12,2
PRE,12-Sep-16,3,1347,Pinus ponderosa,17.6,90,50,48,L,40,60,0.1,12,2
PRE,23-Sep-16,1,523,Pinus ponderosa,14.2,56,18,6,L,40,28,0,2,2
PRE,12-Sep-16,17,114,Pinus ponderosa,14.2,85,31,8,L,40,49,1,26,2
PRE,20-Sep-16,1,293,Pseudotsuga menziesii,6.1,35,7,4,L,40,19,1,6,2
PRE,20-Sep-16,13,2474,Pinus ponderosa,4.5,30,21,3,L,40,23,4,9,2
PRE,20-Sep-16,9,471,Pseudotsuga menziesii,4.4,41,33,23,L,40,34,1,5,2
PRE,10-Sep-16,17,1227,Pinus ponderosa,1.6,13,4,4,L,40,7,0.1,2,2
PRE,17-Aug-16,19,3662,Pinus ponderosa,1.3,9,6,2.5,L,40,9,,,2
PRE,10-Sep-16,7,959,Pinus contorta var. latifolia,0.8,5,1,1,L,40,3,0,0.1,2
PRE,10-Sep-16,19,1279,Pinus contorta var. latifolia,0.5,7,1,1,L,40,3,0,0.1,2
PRE,22-Aug-16,17,715,Pinus ponderosa,0.5,5.1,2,1,L,40,4,0.1,1,2
PRE,20-Sep-16,5,416,Pinus ponderosa,22.8,85,38,38,L,35,52,0,10,2
PRE,20-Sep-16,13,2482,Pseudotsuga menziesii,16.5,72,16,1,L,35,29,0.1,13,2
PRE,12-Sep-16,5,1356,Pseudotsuga menziesii,10.6,64,19,15,L,35,43,4,18,2
PRE,20-Sep-16,11,2447,Pseudotsuga menziesii,7.8,60,35,21,L,35,49,0.1,4,2
PRE,12-Sep-16,17,128,Pseudotsuga menziesii,7.4,59,33,7,L,35,33,5,10,2
PRE,20-Sep-16,17,176,Pseudotsuga menziesii,6.7,36,3,1,L,35,13,0.1,3,2
PRE,12-Sep-16,15,60,Pseudotsuga menziesii,4.6,32,13,13,L,35,17,1,6,2
PRE,10-Sep-16,15,1202,Pinus ponderosa,3.2,17,7,6,L,35,10,0.1,2,2
PRE,20-Sep-16,19,184,Pseudotsuga menziesii,3.1,29,8,1,L,35,16,1,4,2
PRE,12-Sep-16,15,62,Pseudotsuga menziesii,3.1,25,11,11,L,35,14,0.1,1,2
PRE,12-Sep-16,17,126,Pseudotsuga menziesii,2.5,25,13,11,L,35,18,2,4,2
PRE,10-Sep-16,17,1226,Pinus ponderosa,1.8,13,6,4,L,35,8,0.1,1,2
PRE,20-Sep-16,1,294,Pseudotsuga menziesii,3.8,28,4,2,L,33,12,1,3,2
PRE,12-Sep-16,5,27,Pinus ponderosa,25.2,81,29,16,L,30,45,6,29,2
PRE,17-Aug-16,3,409,Pinus ponderosa,15,93,42,28,L,30,65,0.5,5,2
PRE,12-Sep-16,19,144,Pinus ponderosa,7,50,24,6,L,30,26,0,0.1,2
PRE,20-Sep-16,19,698,Pseudotsuga menziesii,5.8,37,9,1,L,30,16,1,4,2
PRE,12-Sep-16,17,137,Pseudotsuga menziesii,5.5,44,12,2,L,30,19,1,5,2
PRE,20-Sep-16,13,2463,Pinus ponderosa,3.4,26,14,5,L,30,16,0.1,4,2
PRE,20-Sep-16,13,2469,Pseudotsuga menziesii,3.1,22,10,5,L,30,22,0,0.1,2
PRE,23-Sep-16,3,502,Pinus ponderosa,2.5,16,3,3,L,30,14,0,0.5,2
PRE,23-Sep-16,3,501,Pinus ponderosa,2.2,14,3,3,L,30,14,0,0.5,2
PRE,10-Sep-16,11,3551,Abies grandis,1.3,10,1,1,L,30,7,0,0.1,2
PRE,10-Sep-16,11,3555,Pseudotsuga menziesii,1.2,11,1,1,L,30,8,0.1,1,2
PRE,17-Aug-16,13,476,Pseudotsuga menziesii,0.9,7.5,4,2,L,30,6,0.1,0.5,2
PRE,10-Sep-16,11,981,Pseudotsuga menziesii,0.8,7,1,0,L,30,2,0.1,0.1,2
PRE,10-Sep-16,17,1213,Pinus contorta var. latifolia,0.8,7,2,0,L,30,4,0.1,0.1,2
PRE,10-Sep-16,11,990,Pinus contorta var. latifolia,0.6,7,1,1,L,30,3,1,1,2
PRE,10-Sep-16,11,991,Pinus contorta var. latifolia,0.6,8,1,1,L,30,3,1,1,2
PRE,23-Sep-16,3,506,Pinus ponderosa,28.4,91,31,31,L,25,56,0,1.5,2
PRE,20-Sep-16,15,167,Pseudotsuga menziesii,14.5,61,6,1,L,25,19,0.1,0.1,2
PRE,10-Sep-16,5,925,Pinus ponderosa,13.8,75,37,46,L,25,48,3,19,2
PRE,12-Sep-16,19,143,Pinus ponderosa,13,58,24,8,L,25,28,0,0.1,2
PRE,12-Sep-16,5,21,Pseudotsuga menziesii,12.3,75,27,15,L,25,34,6,14,2
PRE,20-Sep-16,15,150,Pinus ponderosa,11.1,58,22,6,L,25,35,5,16,2
PRE,20-Sep-16,9,462,Abies grandis,10.4,47,22,4,L,25,18,0,0.1,2
PRE,12-Sep-16,5,24,Pseudotsuga menziesii,10,46,10,8,L,25,33,4,13,2
PRE,20-Sep-16,1,292,Pinus ponderosa,6.4,41,15,3,L,25,14,0.1,3,2
PRE,17-Aug-16,13,469,Pseudotsuga menziesii,5.2,30,17,3.5,L,25,25,0,1.5,2
PRE,20-Sep-16,19,597,Pseudotsuga menziesii,5.1,35,6,1,L,25,16,0.1,5,2
PRE,20-Sep-16,9,466,Pseudotsuga menziesii,4.1,43,29,6,L,25,31,0,0.1,2
PRE,12-Sep-16,15,97,Pseudotsuga menziesii,4.1,28,6,4,L,25,18,1,3,2
PRE,20-Sep-16,17,179,Pseudotsuga menziesii,3.2,17,1,1,L,25,17,0,0,2
PRE,23-Sep-16,17,140,Salix scouleriana,1.6,14,5,4,L,25,8,1,3,2
PRE,10-Sep-16,15,1206,Pinus ponderosa,1.2,8,7,5,L,25,3,0.1,2,2
PRE,10-Sep-16,7,955,Pinus contorta var. latifolia,0.4,6,2,1,L,25,3,0.1,0.1,2
PRE,17-Aug-16,13,481,Pseudotsuga menziesii,0.3,6.9,3,2.5,L,25,5,0,0.1,2
PRE,10-Sep-16,5,920,Pinus ponderosa,27.6,108,42,34,L,20,60,1,12,2
PRE,23-Sep-16,15,130,Pinus ponderosa,22.2,77,19,4,L,20,28,0,10,2
PRE,23-Sep-16,13,126,Pinus ponderosa,20.7,87,16,4,L,20,32,3,3.5,2
PRE,20-Sep-16,17,174,Abies grandis,19.8,72,5,1,L,20,21,0,16,2
PRE,10-Sep-16,5,926,Pinus ponderosa,18.3,84,43,26,L,20,34,1,19,2
PRE,12-Sep-16,19,147,Pinus ponderosa,13.3,63,17,15,L,20,27,1,4,2
PRE,23-Sep-16,1,527,Pinus ponderosa,13.2,49,25,1,L,20,22,0,3,2
PRE,20-Sep-16,19,185,Pinus ponderosa,12.1,52,22,22,L,20,30,2,5,2
PRE,12-Sep-16,3,1342,Pseudotsuga menziesii,9.6,55,7,7,L,20,20,3,7,2
PRE,20-Sep-16,7,426,Pseudotsuga menziesii,7.5,42,3,1,L,20,16,2,6,2
PRE,12-Sep-16,17,123,Pseudotsuga menziesii,7.3,68,19,7,L,20,24,3,14,2
PRE,12-Sep-16,19,145,Pinus ponderosa,7.3,46,14,8,L,20,24,1,6,2
PRE,20-Sep-16,19,183,Pseudotsuga menziesii,6.3,38,9,1,L,20,17,3,7,2
PRE,23-Sep-16,1,520,Pseudotsuga menziesii,6.2,42,12,1,L,20,26,0,7,2
PRE,12-Sep-16,1,1332,Pseudotsuga menziesii,6.1,38,5,2,L,20,31,0.1,1,2
PRE,20-Sep-16,7,443,Pseudotsuga menziesii,5,31,12,2,L,20,22,2,6,2
PRE,20-Sep-16,13,2460,Pinus ponderosa,5,30,23,5,L,20,22,0.1,4,2
PRE,10-Sep-16,17,1224,Pinus contorta var. latifolia,4.7,28,1,1,L,20,14,0.1,5,2
PRE,20-Sep-16,17,177,Pseudotsuga menziesii,3.9,22,4,1,L,20,11,2,5,2
PRE,12-Sep-16,17,141,Pseudotsuga menziesii,3.6,23,4,4,L,20,10,0,0.1,2
PRE,10-Sep-16,17,1215,Pinus contorta var. latifolia,2.1,9,1,1,L,20,4,0,2,2
PRE,10-Sep-16,7,958,Pinus contorta var. latifolia,0.7,6,3,1,L,20,2,0,0.1,2
PRE,10-Sep-16,19,1302,Pinus contorta var. latifolia,0.7,7,3,1,L,20,3,0.1,0.1,2
PRE,10-Sep-16,19,1298,Pinus contorta var. latifolia,0.4,5,2,1,L,20,2,0,0.1,2
PRE,12-Sep-16,9,48,Pinus ponderosa,27.4,77,5,5,L,15,51,0.1,3,2
PRE,10-Sep-16,3,919,Pinus ponderosa,23.5,103,32,26,L,15,51,0.1,10,2
PRE,23-Sep-16,13,129,Pinus ponderosa,21.8,70,12,5,L,15,19,3,9,2
PRE,12-Sep-16,3,1350,Pinus ponderosa,18.9,77,46,31,L,15,48,2,9,2
PRE,23-Sep-16,13,128,Pinus ponderosa,18.1,83,16,5,L,15,32,2.5,12,2
PRE,23-Sep-16,13,125,Pinus ponderosa,17,52,12,3,L,15,22,3,9.5,2
PRE,23-Sep-16,15,136,Pinus ponderosa,16.5,69,20,4,L,15,31,2.5,8,2
PRE,23-Sep-16,7,535,Pinus ponderosa,15.3,71,20,11,L,15,41,1.5,14,2
PRE,20-Sep-16,15,163,Pseudotsuga menziesii,13.2,71,11,5,L,15,16,0.1,8,2
PRE,17-Aug-16,15,496,Pinus contorta var. latifolia,12.8,65,38,10,L,15,39,2,10,2
PRE,20-Sep-16,19,696,Pinus ponderosa,10.5,34,50,34,L,15,44,0.1,4,2
PRE,10-Sep-16,9,965,Pinus ponderosa,10,40,16,7,L,15,18,6,10,2
PRE,17-Aug-16,19,3660,Pseudotsuga menziesii,9.5,44,4.5,2,L,15,14,,,2
PRE,12-Sep-16,13,53,Pseudotsuga menziesii,9.2,55,8,2,L,15,14,3,9,2
PRE,12-Sep-16,17,139,Pseudotsuga menziesii,9,69,19,3,L,15,31,0.1,5,2
PRE,20-Sep-16,5,410,Pseudotsuga menziesii,7.2,39,5,1,L,15,17,0.1,1,2
PRE,23-Sep-16,1,524,Pinus ponderosa,6.6,43,19,6,L,15,17,0.5,6.5,2
PRE,20-Sep-16,15,161,Abies grandis,6.2,29,9,1,L,15,16,0.1,6,2
